"Period","Category","ImageURI","PageViews","Source","Article"
"2024-10","SpongeBob SquarePants","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJTcG9uZ2VCb2IgU3F1YXJlUGFudHMiPgogIDxyZWN0IHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiByeD0iMTgiIGZpbGw9IiNmOGY4ZjgiLz4KICA8cmVjdCB4PSIyMiIgeT0iMTYiIHdpZHRoPSI4NCIgaGVpZ2h0PSI5NiIgcng9IjEwIiBmaWxsPSIjRjdEODQzIiBzdHJva2U9IiNEN0E3MDAiIHN0cm9rZS13aWR0aD0iMyIvPgo8Y2lyY2xlIGN4PSI0NyIgY3k9IjUzIiByPSIxMyIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI4MSIgY3k9IjUzIiByPSIxMyIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI1MCIgY3k9IjU0IiByPSI1IiBmaWxsPSIjMkI3QkJCIi8+CjxjaXJjbGUgY3g9Ijc4IiBjeT0iNTQiIHI9IjUiIGZpbGw9IiMyQjdCQkIiLz4KPGNpcmNsZSBjeD0iNDIiIGN5PSI3OCIgcj0iMyIgZmlsbD0iI0MzOUMwMCIvPgo8Y2lyY2xlIGN4PSI4OCIgY3k9Ijc3IiByPSIzIiBmaWxsPSIjQzM5QzAwIi8+CjxyZWN0IHg9IjQ2IiB5PSI4NiIgd2lkdGg9IjM2IiBoZWlnaHQ9IjgiIHJ4PSI0IiBmaWxsPSIjOEI0NTEzIi8+CjxyZWN0IHg9IjUxIiB5PSI5MyIgd2lkdGg9IjgiIGhlaWdodD0iMTAiIGZpbGw9IiNmZmYiLz4KPHJlY3QgeD0iNjkiIHk9IjkzIiB3aWR0aD0iOCIgaGVpZ2h0PSIxMCIgZmlsbD0iI2ZmZiIvPgo8L3N2Zz4=","169566","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/SpongeBob_SquarePants"
"2024-10","Tom and Jerry","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJUb20gYW5kIEplcnJ5Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPGNpcmNsZSBjeD0iNDYiIGN5PSI2OCIgcj0iMzMiIGZpbGw9IiM4QjVFM0MiLz4KPHBvbHlnb24gcG9pbnRzPSIyNSwzOSAzOCw1NSA0OCwzNiIgZmlsbD0iIzhCNUUzQyIvPgo8cG9seWdvbiBwb2ludHM9IjY0LDM2IDU1LDU1IDc1LDQzIiBmaWxsPSIjOEI1RTNDIi8+CjxjaXJjbGUgY3g9IjQyIiBjeT0iNjEiIHI9IjgiIGZpbGw9IiNmZmYiLz4KPGNpcmNsZSBjeD0iNTUiIGN5PSI2MSIgcj0iOCIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI0MyIgY3k9IjYyIiByPSIzIiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9IjU0IiBjeT0iNjIiIHI9IjMiIGZpbGw9IiMxMTEiLz4KPGVsbGlwc2UgY3g9IjQ5IiBjeT0iNzgiIHJ4PSIxMiIgcnk9IjgiIGZpbGw9IiNFQkM3QTAiLz4KPGNpcmNsZSBjeD0iODgiIGN5PSI3NSIgcj0iMjQiIGZpbGw9IiNGMkIxNjYiLz4KPGNpcmNsZSBjeD0iODAiIGN5PSI2OSIgcj0iNiIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI5NiIgY3k9IjY5IiByPSI2IiBmaWxsPSIjZmZmIi8+CjxjaXJjbGUgY3g9IjgwIiBjeT0iNjkiIHI9IjIiIGZpbGw9IiMxMTEiLz4KPGNpcmNsZSBjeD0iOTYiIGN5PSI2OSIgcj0iMiIgZmlsbD0iIzExMSIvPgo8ZWxsaXBzZSBjeD0iODgiIGN5PSI4NCIgcng9IjEwIiByeT0iNSIgZmlsbD0iI2ZmZiIvPgo8L3N2Zz4=","88185","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Tom_and_Jerry"
"2024-11","Bugs Bunny","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJCdWdzIEJ1bm55Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPGVsbGlwc2UgY3g9IjQ1IiBjeT0iMjkiIHJ4PSIxMyIgcnk9IjI1IiBmaWxsPSIjNkM3QTg5IiB0cmFuc2Zvcm09InJvdGF0ZSgtMTAgNDUgMjkpIi8+CjxlbGxpcHNlIGN4PSI4MyIgY3k9IjI5IiByeD0iMTMiIHJ5PSIyNSIgZmlsbD0iIzZDN0E4OSIgdHJhbnNmb3JtPSJyb3RhdGUoMTAgODMgMjkpIi8+CjxlbGxpcHNlIGN4PSI0NSIgY3k9IjMwIiByeD0iNiIgcnk9IjE3IiBmaWxsPSIjRjdDOUM5IiB0cmFuc2Zvcm09InJvdGF0ZSgtMTAgNDUgMzApIi8+CjxlbGxpcHNlIGN4PSI4MyIgY3k9IjMwIiByeD0iNiIgcnk9IjE3IiBmaWxsPSIjRjdDOUM5IiB0cmFuc2Zvcm09InJvdGF0ZSgxMCA4MyAzMCkiLz4KPGNpcmNsZSBjeD0iNjQiIGN5PSI3MiIgcj0iMzkiIGZpbGw9IiM2QzdBODkiLz4KPGVsbGlwc2UgY3g9IjUyIiBjeT0iNjUiIHJ4PSI4IiByeT0iMTAiIGZpbGw9IiNmZmYiLz4KPGVsbGlwc2UgY3g9Ijc2IiBjeT0iNjUiIHJ4PSI4IiByeT0iMTAiIGZpbGw9IiNmZmYiLz4KPGNpcmNsZSBjeD0iNTQiIGN5PSI2NyIgcj0iMyIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI3NCIgY3k9IjY3IiByPSIzIiBmaWxsPSIjMTExIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9IjgzIiByeD0iMTgiIHJ5PSIxMyIgZmlsbD0iI2ZmZiIvPgo8cmVjdCB4PSI1OCIgeT0iODIiIHdpZHRoPSI1IiBoZWlnaHQ9IjEyIiBmaWxsPSIjZmZmIiBzdHJva2U9IiMzMzMiIHN0cm9rZS13aWR0aD0iMSIvPgo8cmVjdCB4PSI2NSIgeT0iODIiIHdpZHRoPSI1IiBoZWlnaHQ9IjEyIiBmaWxsPSIjZmZmIiBzdHJva2U9IiMzMzMiIHN0cm9rZS13aWR0aD0iMSIvPgo8L3N2Zz4=","40097","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Bugs_Bunny"
"2024-11","Doraemon","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJEb3JhZW1vbiI+CiAgPHJlY3Qgd2lkdGg9IjEyOCIgaGVpZ2h0PSIxMjgiIHJ4PSIxOCIgZmlsbD0iI2Y4ZjhmOCIvPgogIDxjaXJjbGUgY3g9IjQzIiBjeT0iMzgiIHI9IjE5IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9Ijg1IiBjeT0iMzgiIHI9IjE5IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9IjY0IiBjeT0iNjYiIHI9IjQyIiBmaWxsPSIjMkY5QkVBIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9IjcyIiByeD0iMzAiIHJ5PSIyOCIgZmlsbD0iI0ZGRkZGRiIgb3BhY2l0eT0iMC45NSIvPgo8Y2lyY2xlIGN4PSI1MyIgY3k9IjYyIiByPSI2IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9Ijc1IiBjeT0iNjIiIHI9IjYiIGZpbGw9IiMxMTEiLz4KPGVsbGlwc2UgY3g9IjY0IiBjeT0iNzgiIHJ4PSIxMCIgcnk9IjciIGZpbGw9IiMxMTEiLz4KPHBhdGggZD0iTTU0IDkwIFE2NCA5OCA3NCA5MCIgZmlsbD0ibm9uZSIgc3Ryb2tlPSIjMTExIiBzdHJva2Utd2lkdGg9IjQiIHN0cm9rZS1saW5lY2FwPSJyb3VuZCIvPgo8L3N2Zz4=","55821","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Doraemon"
"2024-11","Mickey Mouse","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJNaWNrZXkgTW91c2UiPgogIDxyZWN0IHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiByeD0iMTgiIGZpbGw9IiNmOGY4ZjgiLz4KICA8Y2lyY2xlIGN4PSI0MyIgY3k9IjM4IiByPSIxOSIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI4NSIgY3k9IjM4IiByPSIxOSIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI2NCIgY3k9IjY2IiByPSI0MiIgZmlsbD0iI0Q5MjMzMiIvPgo8ZWxsaXBzZSBjeD0iNjQiIGN5PSI3MiIgcng9IjMwIiByeT0iMjgiIGZpbGw9IiNGRkQyM0YiIG9wYWNpdHk9IjAuOTUiLz4KPGNpcmNsZSBjeD0iNTMiIGN5PSI2MiIgcj0iNiIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI3NSIgY3k9IjYyIiByPSI2IiBmaWxsPSIjMTExIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9Ijc4IiByeD0iMTAiIHJ5PSI3IiBmaWxsPSIjMTExIi8+CjxwYXRoIGQ9Ik01NCA5MCBRNjQgOTggNzQgOTAiIGZpbGw9Im5vbmUiIHN0cm9rZT0iIzExMSIgc3Ryb2tlLXdpZHRoPSI0IiBzdHJva2UtbGluZWNhcD0icm91bmQiLz4KPC9zdmc+","89143","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Mickey_Mouse"
"2024-11","Pikachu","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJQaWthY2h1Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPHBvbHlnb24gcG9pbnRzPSI0MiwyNSA1Myw1NiAzMCw0MiIgZmlsbD0iI0ZGRDgzRCIgc3Ryb2tlPSIjMjIyIiBzdHJva2Utd2lkdGg9IjQiLz4KPHBvbHlnb24gcG9pbnRzPSI4NiwyNSA3NSw1NiA5OCw0MiIgZmlsbD0iI0ZGRDgzRCIgc3Ryb2tlPSIjMjIyIiBzdHJva2Utd2lkdGg9IjQiLz4KPGNpcmNsZSBjeD0iNjQiIGN5PSI3MCIgcj0iMzkiIGZpbGw9IiNGRkQ4M0QiIHN0cm9rZT0iIzIyMiIgc3Ryb2tlLXdpZHRoPSIzIi8+CjxjaXJjbGUgY3g9IjQ5IiBjeT0iNjYiIHI9IjciIGZpbGw9IiMxMTEiLz4KPGNpcmNsZSBjeD0iNzkiIGN5PSI2NiIgcj0iNyIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI0MyIgY3k9IjgyIiByPSI5IiBmaWxsPSIjRTg0NTQ1Ii8+CjxjaXJjbGUgY3g9Ijg1IiBjeT0iODIiIHI9IjkiIGZpbGw9IiNFODQ1NDUiLz4KPHBhdGggZD0iTTU0IDkwIFE2NCA5OCA3NCA5MCIgZmlsbD0ibm9uZSIgc3Ryb2tlPSIjMTExIiBzdHJva2Utd2lkdGg9IjQiIHN0cm9rZS1saW5lY2FwPSJyb3VuZCIvPgo8cG9seWdvbiBwb2ludHM9IjY2LDIyIDQyLDcwIDYyLDcwIDUyLDEwNiA4OCw1NiA2OCw1NiIgZmlsbD0iI0ZGQjMwMCIgb3BhY2l0eT0iLjM1Ii8+Cjwvc3ZnPg==","56950","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Pikachu"
"2024-11","SpongeBob SquarePants","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJTcG9uZ2VCb2IgU3F1YXJlUGFudHMiPgogIDxyZWN0IHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiByeD0iMTgiIGZpbGw9IiNmOGY4ZjgiLz4KICA8cmVjdCB4PSIyMiIgeT0iMTYiIHdpZHRoPSI4NCIgaGVpZ2h0PSI5NiIgcng9IjEwIiBmaWxsPSIjRjdEODQzIiBzdHJva2U9IiNEN0E3MDAiIHN0cm9rZS13aWR0aD0iMyIvPgo8Y2lyY2xlIGN4PSI0NyIgY3k9IjUzIiByPSIxMyIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI4MSIgY3k9IjUzIiByPSIxMyIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI1MCIgY3k9IjU0IiByPSI1IiBmaWxsPSIjMkI3QkJCIi8+CjxjaXJjbGUgY3g9Ijc4IiBjeT0iNTQiIHI9IjUiIGZpbGw9IiMyQjdCQkIiLz4KPGNpcmNsZSBjeD0iNDIiIGN5PSI3OCIgcj0iMyIgZmlsbD0iI0MzOUMwMCIvPgo8Y2lyY2xlIGN4PSI4OCIgY3k9Ijc3IiByPSIzIiBmaWxsPSIjQzM5QzAwIi8+CjxyZWN0IHg9IjQ2IiB5PSI4NiIgd2lkdGg9IjM2IiBoZWlnaHQ9IjgiIHJ4PSI0IiBmaWxsPSIjOEI0NTEzIi8+CjxyZWN0IHg9IjUxIiB5PSI5MyIgd2lkdGg9IjgiIGhlaWdodD0iMTAiIGZpbGw9IiNmZmYiLz4KPHJlY3QgeD0iNjkiIHk9IjkzIiB3aWR0aD0iOCIgaGVpZ2h0PSIxMCIgZmlsbD0iI2ZmZiIvPgo8L3N2Zz4=","156929","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/SpongeBob_SquarePants"
"2024-11","Tom and Jerry","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJUb20gYW5kIEplcnJ5Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPGNpcmNsZSBjeD0iNDYiIGN5PSI2OCIgcj0iMzMiIGZpbGw9IiM4QjVFM0MiLz4KPHBvbHlnb24gcG9pbnRzPSIyNSwzOSAzOCw1NSA0OCwzNiIgZmlsbD0iIzhCNUUzQyIvPgo8cG9seWdvbiBwb2ludHM9IjY0LDM2IDU1LDU1IDc1LDQzIiBmaWxsPSIjOEI1RTNDIi8+CjxjaXJjbGUgY3g9IjQyIiBjeT0iNjEiIHI9IjgiIGZpbGw9IiNmZmYiLz4KPGNpcmNsZSBjeD0iNTUiIGN5PSI2MSIgcj0iOCIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI0MyIgY3k9IjYyIiByPSIzIiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9IjU0IiBjeT0iNjIiIHI9IjMiIGZpbGw9IiMxMTEiLz4KPGVsbGlwc2UgY3g9IjQ5IiBjeT0iNzgiIHJ4PSIxMiIgcnk9IjgiIGZpbGw9IiNFQkM3QTAiLz4KPGNpcmNsZSBjeD0iODgiIGN5PSI3NSIgcj0iMjQiIGZpbGw9IiNGMkIxNjYiLz4KPGNpcmNsZSBjeD0iODAiIGN5PSI2OSIgcj0iNiIgZmlsbD0iI2ZmZiIvPgo8Y2lyY2xlIGN4PSI5NiIgY3k9IjY5IiByPSI2IiBmaWxsPSIjZmZmIi8+CjxjaXJjbGUgY3g9IjgwIiBjeT0iNjkiIHI9IjIiIGZpbGw9IiMxMTEiLz4KPGNpcmNsZSBjeD0iOTYiIGN5PSI2OSIgcj0iMiIgZmlsbD0iIzExMSIvPgo8ZWxsaXBzZSBjeD0iODgiIGN5PSI4NCIgcng9IjEwIiByeT0iNSIgZmlsbD0iI2ZmZiIvPgo8L3N2Zz4=","92981","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Tom_and_Jerry"
"2024-12","Bugs Bunny","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJCdWdzIEJ1bm55Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPGVsbGlwc2UgY3g9IjQ1IiBjeT0iMjkiIHJ4PSIxMyIgcnk9IjI1IiBmaWxsPSIjNkM3QTg5IiB0cmFuc2Zvcm09InJvdGF0ZSgtMTAgNDUgMjkpIi8+CjxlbGxpcHNlIGN4PSI4MyIgY3k9IjI5IiByeD0iMTMiIHJ5PSIyNSIgZmlsbD0iIzZDN0E4OSIgdHJhbnNmb3JtPSJyb3RhdGUoMTAgODMgMjkpIi8+CjxlbGxpcHNlIGN4PSI0NSIgY3k9IjMwIiByeD0iNiIgcnk9IjE3IiBmaWxsPSIjRjdDOUM5IiB0cmFuc2Zvcm09InJvdGF0ZSgtMTAgNDUgMzApIi8+CjxlbGxpcHNlIGN4PSI4MyIgY3k9IjMwIiByeD0iNiIgcnk9IjE3IiBmaWxsPSIjRjdDOUM5IiB0cmFuc2Zvcm09InJvdGF0ZSgxMCA4MyAzMCkiLz4KPGNpcmNsZSBjeD0iNjQiIGN5PSI3MiIgcj0iMzkiIGZpbGw9IiM2QzdBODkiLz4KPGVsbGlwc2UgY3g9IjUyIiBjeT0iNjUiIHJ4PSI4IiByeT0iMTAiIGZpbGw9IiNmZmYiLz4KPGVsbGlwc2UgY3g9Ijc2IiBjeT0iNjUiIHJ4PSI4IiByeT0iMTAiIGZpbGw9IiNmZmYiLz4KPGNpcmNsZSBjeD0iNTQiIGN5PSI2NyIgcj0iMyIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI3NCIgY3k9IjY3IiByPSIzIiBmaWxsPSIjMTExIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9IjgzIiByeD0iMTgiIHJ5PSIxMyIgZmlsbD0iI2ZmZiIvPgo8cmVjdCB4PSI1OCIgeT0iODIiIHdpZHRoPSI1IiBoZWlnaHQ9IjEyIiBmaWxsPSIjZmZmIiBzdHJva2U9IiMzMzMiIHN0cm9rZS13aWR0aD0iMSIvPgo8cmVjdCB4PSI2NSIgeT0iODIiIHdpZHRoPSI1IiBoZWlnaHQ9IjEyIiBmaWxsPSIjZmZmIiBzdHJva2U9IiMzMzMiIHN0cm9rZS13aWR0aD0iMSIvPgo8L3N2Zz4=","38612","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Bugs_Bunny"
"2024-12","Doraemon","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJEb3JhZW1vbiI+CiAgPHJlY3Qgd2lkdGg9IjEyOCIgaGVpZ2h0PSIxMjgiIHJ4PSIxOCIgZmlsbD0iI2Y4ZjhmOCIvPgogIDxjaXJjbGUgY3g9IjQzIiBjeT0iMzgiIHI9IjE5IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9Ijg1IiBjeT0iMzgiIHI9IjE5IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9IjY0IiBjeT0iNjYiIHI9IjQyIiBmaWxsPSIjMkY5QkVBIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9IjcyIiByeD0iMzAiIHJ5PSIyOCIgZmlsbD0iI0ZGRkZGRiIgb3BhY2l0eT0iMC45NSIvPgo8Y2lyY2xlIGN4PSI1MyIgY3k9IjYyIiByPSI2IiBmaWxsPSIjMTExIi8+CjxjaXJjbGUgY3g9Ijc1IiBjeT0iNjIiIHI9IjYiIGZpbGw9IiMxMTEiLz4KPGVsbGlwc2UgY3g9IjY0IiBjeT0iNzgiIHJ4PSIxMCIgcnk9IjciIGZpbGw9IiMxMTEiLz4KPHBhdGggZD0iTTU0IDkwIFE2NCA5OCA3NCA5MCIgZmlsbD0ibm9uZSIgc3Ryb2tlPSIjMTExIiBzdHJva2Utd2lkdGg9IjQiIHN0cm9rZS1saW5lY2FwPSJyb3VuZCIvPgo8L3N2Zz4=","56805","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Doraemon"
"2024-12","Mickey Mouse","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJNaWNrZXkgTW91c2UiPgogIDxyZWN0IHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiByeD0iMTgiIGZpbGw9IiNmOGY4ZjgiLz4KICA8Y2lyY2xlIGN4PSI0MyIgY3k9IjM4IiByPSIxOSIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI4NSIgY3k9IjM4IiByPSIxOSIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI2NCIgY3k9IjY2IiByPSI0MiIgZmlsbD0iI0Q5MjMzMiIvPgo8ZWxsaXBzZSBjeD0iNjQiIGN5PSI3MiIgcng9IjMwIiByeT0iMjgiIGZpbGw9IiNGRkQyM0YiIG9wYWNpdHk9IjAuOTUiLz4KPGNpcmNsZSBjeD0iNTMiIGN5PSI2MiIgcj0iNiIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI3NSIgY3k9IjYyIiByPSI2IiBmaWxsPSIjMTExIi8+CjxlbGxpcHNlIGN4PSI2NCIgY3k9Ijc4IiByeD0iMTAiIHJ5PSI3IiBmaWxsPSIjMTExIi8+CjxwYXRoIGQ9Ik01NCA5MCBRNjQgOTggNzQgOTAiIGZpbGw9Im5vbmUiIHN0cm9rZT0iIzExMSIgc3Ryb2tlLXdpZHRoPSI0IiBzdHJva2UtbGluZWNhcD0icm91bmQiLz4KPC9zdmc+","83046","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Mickey_Mouse"
"2024-12","Pikachu","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjgiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMTI4IDEyOCIgcm9sZT0iaW1nIiBhcmlhLWxhYmVsPSJQaWthY2h1Ij4KICA8cmVjdCB3aWR0aD0iMTI4IiBoZWlnaHQ9IjEyOCIgcng9IjE4IiBmaWxsPSIjZjhmOGY4Ii8+CiAgPHBvbHlnb24gcG9pbnRzPSI0MiwyNSA1Myw1NiAzMCw0MiIgZmlsbD0iI0ZGRDgzRCIgc3Ryb2tlPSIjMjIyIiBzdHJva2Utd2lkdGg9IjQiLz4KPHBvbHlnb24gcG9pbnRzPSI4NiwyNSA3NSw1NiA5OCw0MiIgZmlsbD0iI0ZGRDgzRCIgc3Ryb2tlPSIjMjIyIiBzdHJva2Utd2lkdGg9IjQiLz4KPGNpcmNsZSBjeD0iNjQiIGN5PSI3MCIgcj0iMzkiIGZpbGw9IiNGRkQ4M0QiIHN0cm9rZT0iIzIyMiIgc3Ryb2tlLXdpZHRoPSIzIi8+CjxjaXJjbGUgY3g9IjQ5IiBjeT0iNjYiIHI9IjciIGZpbGw9IiMxMTEiLz4KPGNpcmNsZSBjeD0iNzkiIGN5PSI2NiIgcj0iNyIgZmlsbD0iIzExMSIvPgo8Y2lyY2xlIGN4PSI0MyIgY3k9IjgyIiByPSI5IiBmaWxsPSIjRTg0NTQ1Ii8+CjxjaXJjbGUgY3g9Ijg1IiBjeT0iODIiIHI9IjkiIGZpbGw9IiNFODQ1NDUiLz4KPHBhdGggZD0iTTU0IDkwIFE2NCA5OCA3NCA5MCIgZmlsbD0ibm9uZSIgc3Ryb2tlPSIjMTExIiBzdHJva2Utd2lkdGg9IjQiIHN0cm9rZS1saW5lY2FwPSJyb3VuZCIvPgo8cG9seWdvbiBwb2ludHM9IjY2LDIyIDQyLDcwIDYyLDcwIDUyLDEwNiA4OCw1NiA2OCw1NiIgZmlsbD0iI0ZGQjMwMCIgb3BhY2l0eT0iLjM1Ii8+Cjwvc3ZnPg==","61345","Wikimedia Pageviews API","https://en.wikipedia.org/wiki/Pikachu"
